Rank;Imdb;Metascore;Filme;Votos;Ano
342;7.0;61; Velozes & Furiosos 6;390,811;2013
343;8.4;67; 3 Idiotas;388,793;2009
344;7.0;72; A Mentira;385,792;2010
345;7.1;67; Velozes & Furiosos 7;385,367;2015
346;6.4;58; Doze Homens e Outro Segredo;384,740;2004
347;8.4;89; A Vida dos Outros;384,635;2006
348;7.5;74; Atração Perigosa;384,411;2010
349;6.7;64; O Procurado;384,367;2008
350;7.0;70; Homem-Formiga e a Vespa;384,103;2018
351;7.7;61; O Operário;383,875;2004
352;8.2;80; O Castelo Animado;382,650;2004
353;6.8;58; Velozes & Furiosos;380,080;2001
354;7.3;66; Velozes & Furiosos 5: Operação Rio;376,947;2011
355;8.6;; Mr. Robot: Sociedade Hacker;376,558;2015–2019
356;7.8;94; O Irlandês;375,208;2019
357;7.6;88; Nasce Uma Estrela;375,196;2018
358;5.8;49; 2012;373,853;I 2009
359;7.1;66; Meninas Malvadas;373,248;2004
360;7.6;82; 127 Horas;372,720;2010
361;7.9;58; Jojo Rabbit;372,416;2019
362;8.1;81; Ford vs Ferrari;372,295;2019
363;7.0;71; Anjos da Lei 2;371,504;2014
364;7.7;69; A Culpa é das Estrelas;370,690;2014
365;6.9;56; Malévola;370,137;2014
366;7.6;68; O Ilusionista;369,794;2006
367;6.1;49; MIB: Homens de Preto II;369,065;2002
368;6.9;58; Jumanji: Bem-Vindo à Selva;368,443;2017
369;7.6;76; O Plano Perfeito;368,040;2006
370;7.4;75; Missão: Impossível - Nação Secreta;367,106;2015
371;6.9;85; Ligeiramente Grávidos;367,056;2007
372;7.2;57; O Protetor;364,931;2014
373;7.3;83; Sweeney Todd, o Barbeiro Demoníaco da Rua Fleet;364,652;2007
374;8.9;; Fargo;364,442;2014– 
375;7.0;68; Uma Saída de Mestre;363,793;2003
376;6.5;63; Amizade Colorida;363,556;2011
377;7.8;79; O Vencedor;362,025;I 2010
378;7.6;74; Os Outros;360,803;2001
379;7.4;55; A Viagem;360,322;2012
380;8.7;; Dark;359,725;2017–2020
381;6.5;49; O Exterminador do Futuro: A Salvação;358,781;2009
382;6.8;59; Sinais;358,569;2002
383;7.7;47; Chamas da Vingança;358,175;2004
384;6.8;46; Sim Senhor;357,773;2008
385;6.8;58; MIB: Homens de Preto III;357,621;2012
386;7.5;77; O Aviador;356,945;2004
387;7.8;67; Lunar;355,328;2009
388;7.1;84; Expresso do Amanhã;355,174;2013
389;7.3;65; Universidade Monstros;352,729;2013
390;8.1;79; Hotel Ruanda;352,294;2004
391;7.1;63; O Âncora: A Lenda de Ron Burgundy;352,272;2004
392;7.7;87; O Segredo de Brokeback Mountain;352,191;2005
393;7.0;72; Super 8;352,063;2011
394;7.0;64; Penetras Bons de Bico;351,990;2005
395;6.9;66; Missão: Impossível 3;351,847;2006
396;7.9;100; Boyhood: Da Infância à Juventude;351,703;I 2014
397;8.2;82; A Queda! As Últimas Horas de Hitler;351,465;2004
398;9.0;; Ataque dos Titãs;350,889;2013–2023
399;6.8;48; Como se Fosse a Primeira Vez;350,393;2004
400;7.9;85; Cidade dos Sonhos;349,575;2001
401;7.3;76; O Voo;349,014;I 2012
402;7.7;83; Uma Aventura Lego;348,821;2014
403;7.8;84; Moonrise Kingdom;345,448;2012
404;7.1;57; O Chamado;343,911;2002
405;6.9;62; Treze Homens e um Novo Segredo;342,432;2007
406;6.4;45; Os Mercenários;342,356;2010
407;6.4;48; Uma Noite no Museu;341,619;2006
408;6.5;51; Um Parto de Viagem;340,837;2010
409;7.8;55; Questão de Tempo;340,360;I 2013
410;7.6;; Flash;339,270;2014– 
411;6.1;59; Missão: Impossível 2;337,214;2000
412;7.0;50; Constantine;337,014;2005
413;8.3;; Homeland;336,454;2011–2020
414;7.0;50; Jack Reacher: O Último Tiro;336,441;2012
415;6.9;64; Segurando as Pontas;336,135;2008
